repo,commenter,month,churn_add,churn_del,comment_count,commit_count,issue_count,pr_count,thread_comments_total,thread_participants_total,threads_participated,active_months,active,last_active_month,engagement_label
huggingface/transformers,010kim,2024/8/1,761,2,0,1,0,1,0,0,0,3,TRUE,2024/10/1,Disengaged
huggingface/transformers,010kim,2024/9/1,0,0,2,0,0,0,37,15,1,3,TRUE,2024/10/1,Disengaged
huggingface/transformers,010kim,2024/10/1,0,0,1,0,0,0,37,15,1,3,TRUE,2024/10/1,Disengaged
grafana/grafana,09jvilla,2024/3/1,0,2,0,1,0,1,0,0,0,4,TRUE,2024/10/1,Disengaged
grafana/grafana,09jvilla,2024/7/1,0,0,1,0,0,0,15,4,1,4,TRUE,2024/10/1,Disengaged
grafana/grafana,09jvilla,2024/8/1,0,0,3,0,0,0,15,4,1,4,TRUE,2024/10/1,Disengaged
grafana/grafana,09jvilla,2024/10/1,1,1,0,1,0,1,0,0,0,4,TRUE,2024/10/1,Disengaged
FreeTubeApp/FreeTube,0Raik,2024/5/1,0,0,1,0,0,0,61,24,1,3,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,0Raik,2025/1/1,0,0,1,0,0,0,77,47,1,3,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,0Raik,2025/2/1,0,0,1,0,1,0,77,47,1,3,TRUE,2025/2/1,Disengaged
godotengine/godot,0x0ACB,2024/2/1,5,9,0,2,1,4,0,0,0,7,TRUE,2025/2/1,Disengaged
godotengine/godot,0x0ACB,2024/3/1,3,1,0,1,0,1,0,0,0,7,TRUE,2025/2/1,Disengaged
godotengine/godot,0x0ACB,2024/4/1,0,0,0,0,0,2,0,0,0,7,TRUE,2025/2/1,Disengaged
godotengine/godot,0x0ACB,2024/8/1,0,0,0,0,5,0,0,0,0,7,TRUE,2025/2/1,Disengaged
godotengine/godot,0x0ACB,2024/11/1,67,8,0,1,0,1,0,0,0,7,TRUE,2025/2/1,Disengaged
godotengine/godot,0x0ACB,2025/1/1,0,0,0,0,1,0,0,0,0,7,TRUE,2025/2/1,Disengaged
godotengine/godot,0x0ACB,2025/2/1,0,0,0,0,1,0,0,0,0,7,TRUE,2025/2/1,Disengaged
pytest-dev/pytest,0xDEC0DE,2024/7/1,45,4,0,1,0,2,0,0,0,3,TRUE,2025/2/1,Disengaged
grafana/grafana,0xDEC0DE,2025/1/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/2/1,Disengaged
grafana/grafana,0xDEC0DE,2025/2/1,0,6,0,1,0,0,0,0,0,3,TRUE,2025/2/1,Disengaged
godotengine/godot,0xafbf,2024/3/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/4/1,Engaged
godotengine/godot,0xafbf,2024/10/1,3,3,0,1,0,3,0,0,0,3,TRUE,2025/4/1,Engaged
godotengine/godot,0xafbf,2025/4/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/4/1,Engaged
godotengine/godot,0xcafeb33f,2024/8/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/3/1,Engaged
godotengine/godot,0xcafeb33f,2025/2/1,1,1,0,1,2,1,0,0,0,3,TRUE,2025/3/1,Engaged
godotengine/godot,0xcafeb33f,2025/3/1,0,0,0,0,1,0,0,0,0,3,TRUE,2025/3/1,Engaged
