repo,commenter,month,commit_count,churn_add,churn_del
scikit-learn/scikit-learn,rprkh,2025-04-01,1,34,1
scikit-learn/scikit-learn,rprkh,2024-08-01,1,5,0
scikit-learn/scikit-learn,rprkh,2024-04-01,1,133,22
scikit-learn/scikit-learn,rprkh,2024-03-01,2,41,0
scikit-learn/scikit-learn,rprkh,2024-02-01,1,11,0
scikit-learn/scikit-learn,DimitriPapadopoulos,2025-04-01,15,534,556
scikit-learn/scikit-learn,DimitriPapadopoulos,2025-03-01,11,487,540
scikit-learn/scikit-learn,DimitriPapadopoulos,2025-01-01,1,39,39
scikit-learn/scikit-learn,lorentzenchr,2025-04-01,1,193,18
scikit-learn/scikit-learn,lorentzenchr,2025-03-01,5,172,36
scikit-learn/scikit-learn,lorentzenchr,2025-02-01,2,57,51
scikit-learn/scikit-learn,lorentzenchr,2025-01-01,1,211,61
scikit-learn/scikit-learn,lorentzenchr,2024-11-01,1,137,0
scikit-learn/scikit-learn,lorentzenchr,2024-10-01,4,703,195
scikit-learn/scikit-learn,lorentzenchr,2024-09-01,1,24,17
scikit-learn/scikit-learn,lorentzenchr,2024-07-01,3,273,620
scikit-learn/scikit-learn,lorentzenchr,2024-06-01,2,28,56
scikit-learn/scikit-learn,lorentzenchr,2024-05-01,4,396,335
scikit-learn/scikit-learn,lorentzenchr,2024-04-01,7,303,72
scikit-learn/scikit-learn,lorentzenchr,2024-03-01,3,517,589
scikit-learn/scikit-learn,lorentzenchr,2024-02-01,8,258,232
scikit-learn/scikit-learn,jeremiedbb,2025-04-01,12,340,1868
scikit-learn/scikit-learn,jeremiedbb,2025-03-01,2,5,217
scikit-learn/scikit-learn,jeremiedbb,2025-02-01,1,211,159
scikit-learn/scikit-learn,jeremiedbb,2025-01-01,5,151,78
scikit-learn/scikit-learn,jeremiedbb,2024-12-01,7,934,523
scikit-learn/scikit-learn,jeremiedbb,2024-11-01,4,29,103
scikit-learn/scikit-learn,jeremiedbb,2024-10-01,11,255,899
scikit-learn/scikit-learn,jeremiedbb,2024-09-01,2,9,67
scikit-learn/scikit-learn,jeremiedbb,2024-07-01,11,620,675
scikit-learn/scikit-learn,jeremiedbb,2024-06-01,4,381,106
scikit-learn/scikit-learn,jeremiedbb,2024-05-01,10,351,173
scikit-learn/scikit-learn,jeremiedbb,2024-04-01,29,892,1359
scikit-learn/scikit-learn,jeremiedbb,2024-03-01,9,1671,1535
scikit-learn/scikit-learn,jeremiedbb,2024-02-01,7,691,669
scikit-learn/scikit-learn,NEREUScode,2025-04-01,1,11,12
scikit-learn/scikit-learn,ogrisel,2025-04-01,2,32,19
scikit-learn/scikit-learn,ogrisel,2025-03-01,3,718,229
scikit-learn/scikit-learn,ogrisel,2025-02-01,4,119,24
scikit-learn/scikit-learn,ogrisel,2025-01-01,2,193,82
scikit-learn/scikit-learn,ogrisel,2024-12-01,4,116,22
scikit-learn/scikit-learn,ogrisel,2024-11-01,1,12,19
scikit-learn/scikit-learn,ogrisel,2024-10-01,7,339,122
scikit-learn/scikit-learn,ogrisel,2024-09-01,3,135,102
scikit-learn/scikit-learn,ogrisel,2024-08-01,3,49,144
scikit-learn/scikit-learn,ogrisel,2024-07-01,3,944,482
scikit-learn/scikit-learn,ogrisel,2024-06-01,7,89,98
scikit-learn/scikit-learn,ogrisel,2024-05-01,9,223,88
scikit-learn/scikit-learn,ogrisel,2024-04-01,2,654,234
scikit-learn/scikit-learn,ogrisel,2024-03-01,3,15,11
scikit-learn/scikit-learn,ogrisel,2024-02-01,3,154,57
scikit-learn/scikit-learn,BPDanek,2025-04-01,1,1,1
scikit-learn/scikit-learn,lucyleeow,2025-04-01,8,107,39
scikit-learn/scikit-learn,lucyleeow,2025-03-01,4,598,231
scikit-learn/scikit-learn,lucyleeow,2025-02-01,4,203,118
scikit-learn/scikit-learn,lucyleeow,2025-01-01,2,13,12
scikit-learn/scikit-learn,lucyleeow,2024-12-01,2,9,216
scikit-learn/scikit-learn,lucyleeow,2024-11-01,5,227,98
scikit-learn/scikit-learn,lucyleeow,2024-10-01,2,22,12
scikit-learn/scikit-learn,lucyleeow,2024-09-01,2,547,39
scikit-learn/scikit-learn,lucyleeow,2024-08-01,3,73,35
scikit-learn/scikit-learn,lucyleeow,2024-07-01,4,55,43
scikit-learn/scikit-learn,lucyleeow,2024-05-01,3,212,60
scikit-learn/scikit-learn,lucyleeow,2024-04-01,2,2,2
scikit-learn/scikit-learn,lucyleeow,2024-03-01,1,23,5
scikit-learn/scikit-learn,lucyleeow,2024-02-01,12,408,182
scikit-learn/scikit-learn,dkobak,2025-04-01,2,212,91
scikit-learn/scikit-learn,dkobak,2025-03-01,1,249,122
scikit-learn/scikit-learn,dkobak,2024-10-01,1,143,16
scikit-learn/scikit-learn,DeaMariaLeon,2025-04-01,4,106,111
scikit-learn/scikit-learn,DeaMariaLeon,2025-02-01,1,21,21
scikit-learn/scikit-learn,DeaMariaLeon,2024-10-01,1,10,3
scikit-learn/scikit-learn,ArturoAmorQ,2025-04-01,3,226,62
scikit-learn/scikit-learn,ArturoAmorQ,2025-01-01,2,70,35
scikit-learn/scikit-learn,ArturoAmorQ,2024-07-01,2,27,15
scikit-learn/scikit-learn,ArturoAmorQ,2024-06-01,1,20,0
scikit-learn/scikit-learn,ArturoAmorQ,2024-04-01,2,59,7
scikit-learn/scikit-learn,ArturoAmorQ,2024-03-01,1,10,2
scikit-learn/scikit-learn,ArturoAmorQ,2024-02-01,2,1091,558
scikit-learn/scikit-learn,lithomas1,2025-04-01,1,35,5
scikit-learn/scikit-learn,lithomas1,2025-03-01,1,18,11
scikit-learn/scikit-learn,lithomas1,2024-05-01,1,67,11
scikit-learn/scikit-learn,MarieSacksick,2025-04-01,1,96,13
